Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Cayman Islands,108.2,76.3,94.3,113.9,96.6,149.7
2,Switzerland,106.8,50.6,82.3,111.9,100.3,177.8
3,Iceland,94.5,50.1,75.2,102.5,99.3,120.1
4,Bahamas,85.4,47.1,68.7,88.7,89.6,62.8
5,Singapore,85.3,75.1,80.9,77.7,54.3,103
6,Norway,78.9,28.2,56.8,81.1,82.4,129.9
7,Denmark,74.1,28.8,54.3,67.6,85.1,148.6
8,Luxembourg,73.5,48,62.4,73.4,75.9,176
9,Hong Kong (China),72.2,57,65.6,73.9,46.8,110.4
10,Guernsey,70.2,52.5,62.5,72.4,65.7,147.4
11,Israel,69.6,28.7,51.8,65.1,75.3,124.2
12,Isle Of Man,68.6,31.6,52.5,60.9,81.6,123.7
13,Netherlands,68.1,37.4,54.7,63,74,139.5
14,Austria,67.6,25,49.1,68.6,63.6,118.9
15,Ireland,66.6,44.7,57,64.7,69.6,117.4
16,Papua New Guinea,65.6,33.4,51.6,53.3,33.6,15.7
17,United States,64.8,41.3,54.6,71.3,65.5,157.2
18,Germany,64.7,25.4,47.6,62.1,60.8,140.4
19,Finland,64.5,21.1,45.6,64.9,67,139.5
20,France,64.4,22,46,70.1,60,119.8
21,United Kingdom,64.2,32.9,50.6,59.3,67,127.4
22,Belgium,63.6,22.8,45.9,61.9,71.4,127.7
23,Australia,63,32.1,49.5,71.1,58.3,143.8
24,Sweden,62.8,21.8,44.9,63.5,62.6,141.1
25,South Korea,62.4,17.7,42.9,80.7,35,119.6
26,Canada,60.7,31.9,48.1,67.5,59,119.4
27,Puerto Rico,59.8,20.6,42.7,64.8,51.3,119.6
28,New Zealand,59.3,26.1,44.9,65.6,56.7,136.3
29,Italy,57.2,20.2,41.1,59.5,57.4,93.6
30,Macao (China),56,28.5,44,64.9,39.8,93.4
31,Estonia,55.9,16.1,38.5,51.2,57.8,89.6
32,Cyprus,55.2,26.7,42.8,51.8,55.6,87.8
33,United Arab Emirates,53.4,42.5,48.7,42.9,52.7,125.8
34,Malta,53.1,26.9,41.7,53,58,83.6
35,Uruguay,51.3,14.2,35.2,51,53.3,54.7
36,Greece,51,12.8,34.4,48.6,53.9,65.3
37,Slovenia,50.6,20.6,37.6,49.5,46.5,90
38,Costa Rica,50.3,18.9,36.6,56.5,45.1,55.1
39,Jamaica,50.1,16.7,35.6,59.2,41.2,39.1
40,Yemen,50.1,5.9,30.8,63.2,34.5,20.4
41,Taiwan,49.4,14.5,34.2,64.1,26.8,105.9
42,Trinidad And Tobago,49.4,13.7,33.9,53.8,42.8,51.2
43,Latvia,49,11.6,32.7,44.7,49.7,82.1
44,Japan,48.9,15.4,34.3,59.3,30.1,126.4
45,Croatia,48.6,17.3,35,45.2,50.2,95.6
46,Spain,48.6,23.5,37.7,47.9,48.9,107.2
47,Lithuania,48.3,16.2,34.3,43.5,51.1,90.7
48,Czech Republic,48.2,20,35.9,46.4,37.9,94.8
49,Guyana,46.9,19.8,35.1,59,48.2,61.9
50,Qatar,46.9,37.1,42.7,40.3,45.5,169.9
51,Slovakia,46.7,15.9,33.3,47.9,38,81.3
52,Democratic Republic of the Congo,46.5,26.7,37.9,43.6,54.1,27.3
53,Bahrain,46.1,21.1,35.2,43.8,43.8,125
54,Brunei,46.1,17,33.4,65.9,29,136.8
55,Maldives,46,23.1,36.1,49.3,36.7,58.1
56,Portugal,45.8,25.1,36.8,44.7,40.5,65.3
57,Senegal,45,19.7,34,43.3,38.9,23.7
58,Albania,43.7,15.3,31.3,44.1,40.7,45.1
59,Poland,43.7,18.4,32.7,38.6,42.2,100.4
60,Panama,43.3,23.4,34.6,48.6,39.5,47.6
61,Palestine,43,9,28.2,44.9,33.1,52.2
62,Ivory Coast,42.7,18.4,32.1,39.8,31.1,11
63,Hungary,42.3,13.6,29.8,40.3,39.4,79.5
64,Belize,42.3,10.2,28.3,47.5,33.8,78
65,Botswana,41.7,6.1,26.2,29.9,26.6,72.1
66,Ethiopia,41.6,16.6,30.7,44.4,22.2,13.2
67,Saudi Arabia,41.5,11.9,28.6,39.5,31.8,151.7
68,Serbia,40.9,13.8,29.1,38.1,39.8,63.8
69,Armenia,40.5,15.7,29.7,35.4,40.3,41.6
70,Lebanon,40.5,13.7,28.8,33.5,39.2,39.3
71,Kuwait,40.4,22.3,32.5,33.6,39.7,190.4
72,Cuba,40.1,11.8,27.8,40,24.4,2.7
73,Montenegro,40,16.4,29.7,38,39.7,66.5
74,Cameroon,39.6,18.7,30.5,36.5,45.7,10.7
